Class,Order,Family,Genus,Species,Body mass (g),Brain mass (g)
Mammal,Afrosoricida,Chrysochloridae,Chrysochloris,asiatica,49.0,0.7
Mammal,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,39.8,0.74
Mammal,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,60.3,1.37
Mammal,Afrosoricida,Tenrecidae,Echinops,telfairi,87.5,0.62
Mammal,Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,110.0,0.83
Mammal,Afrosoricida,Tenrecidae,Limnogale,mergulus,92.0,1.15
Mammal,Afrosoricida,Tenrecidae,Microgale,cowani,15.2,0.42
Mammal,Afrosoricida,Tenrecidae,Microgale,dobsoni,32.6,0.56
Mammal,Afrosoricida,Tenrecidae,Microgale,talazaci,50.4,0.79
Mammal,Afrosoricida,Tenrecidae,Micropotamogale,lamottei,64.2,0.8
Mammal,Afrosoricida,Tenrecidae,Oryzorictes,hova,44.2,0.58
Mammal,Afrosoricida,Tenrecidae,Setifer,setosus,248.0,1.51
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,207.19,3.252
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,207.19,3.252
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,267.0,2.9
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,270.9,2.7
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,282.32,3.115
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,293.5,3.11
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,204.36,3.212
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,241.1,3.15
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,289.2,2.96
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,258.15,2.955
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,295.99,3.162
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,263.5,3.3
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,265.0,3.2
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,180.9,3.15
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,273.55,3.444
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,273.55,3.444
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,192.78,3.127
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,269.5,3.15
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,265.4,3.1
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,198.5,3.1
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,234.8,2.93
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,213.8,3.2
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,234.9,3.2
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,194.9,3.1
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,265.0,3.0
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,233.4,3.05
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,249.91,2.962
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,252.45,2.964
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,221.55,3.243
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,272.7,3.0
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,208.5,3.2
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,302.61,2.962
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,294.05,3.113
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,294.16,3.046
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,265.97,3.229
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,277.96,3.271
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,210.77,2.902
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,246.0,3.2
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,189.5,3.13
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,202.0,3.073
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,250.6,3.17
Bird,Accipitriformes,Accipitridae,Accipiter,nisus,241.0,2.93
